State,income
Maryland,78945
Alaska,76440
New Jersey,76126
District of Columbia,75506
Massachusetts,75297
Hawaii,74511
Connecticut,73433
New Hampshire,70936
Virginia,68114
California,67739
Washington,67106
Utah,65977
Colorado,65685
Minnesota,65599
New York,62909
Delaware,61757
Illinois,60960
North Dakota,60656
Rhode Island,60596
Wyoming,59882
Vermont,57677
Oregon,57532
Nebraska,56927
Pennsylvania,56907
Wisconsin,56811
Texas,56565
Iowa,56247
Nevada,55180
Kansas,54935
South Dakota,54467
Georgia,53559
Arizona,53558
Maine,53079
Michigan,52492
Ohio,52334
Indiana,52314
Idaho,51807
Missouri,51746
Florida,50860
North Carolina,50584
Montana,50027
South Carolina,49501
Oklahoma,49176
Tennessee,48547
New Mexico,46748
Kentucky,46659
Alabama,46257
Louisiana,45146
Arkansas,44334
West Virginia,43385
Mississippi,41754
Puerto Rico,20078
